id;class_name;duration;level;instructor_name
1;auxiliary Producer;22611;programming payment SDD;calculate Ergonomic invoice
2;orange users;88583;input Borders;Cambridgeshire indexing
3;Hawaii;60761;Berkshire National Associate;portals Checking
4;Metical Jewelery matrix;98290;Shoes;black
5;United Compatible optimize;5648;Central;payment Square Unbranded
6;Tasty Wooden;68668;invoice cultivate;Shoes
7;Dinar algorithm;60257;mesh monitoring;Chair Valley
8;Springs;89658;24/7 front-end connecting;Ranch Account
9;User-centric;72855;synthesizing;withdrawal
10;silver Human Engineer;71701;quantify program heuristic;Corporate Cyprus Michigan
